Question,Answer
What is the best-selling video game of all time?,Minecraft
What is the most popular game on Twitch?,League of Legends
What is the highest grossing mobile game of all time?,PUBG Mobile
What is the name of the main character in the Legend of Zelda series?,Link
What is the objective of the game Chess?,To checkmate the opponent's king
What is the name of the yellow circle character in the game Pac-Man?,Pac-Man
What is the name of the plumber in the game Super Mario Bros?,Mario
What type of game is Fortnite?,Battle Royale
What is the most played video game of all time?,Minecraft
What is the highest selling console of all time?,PlayStation 2
